global_id,team_id,total_distance,max_speed,avg_speed,sprints,passes_made,passes_received,pass_accuracy,successful_passes,failed_passes,time_in_possession,high_intensity_distance,touches,interceptions,tackles
1,1,58.72931095414386,44.22669806478596,16.81507079524834,200,0,0,0.0,0,0,0.0,44.875819510635694,0,0,0
2,0,58.962978877042815,40.84548496529638,16.848736044918457,203,0,0,0.0,0,0,0.0,44.890850607962435,0,0,0
3,0,95.16534651723207,44.22669806478792,22.008222942786958,182,0,0,0.0,0,0,0.0,36.791426554532286,0,0,0
4,1,58.66288933095401,44.22669806478792,17.283372117170906,222,0,0,0.0,0,0,0.0,47.60175811181121,0,0,0
5,1,57.73286485843502,40.84548496529411,14.69416156814508,135,0,0,0.0,0,0,0.0,35.22323085706434,0,0,0
6,0,58.81043726568591,40.84548496529275,16.19968961171225,189,0,0,0.0,0,0,0.0,40.265832652826646,0,0,0
7,1,57.811811719638435,40.84548496529457,15.876938562575404,184,0,0,0.0,0,0,0.0,40.015279991842604,0,0,0
8,0,52.976857201508054,40.84548496529457,13.483771284691024,118,0,0,0.0,0,0,0.0,28.46706010728999,0,0,0
9,0,59.77340778061032,44.22669806478596,13.891532075751021,113,0,0,0.0,0,0,0.0,30.01478824137843,0,0,0
10,1,23.006584909256606,40.84548496529457,14.613298057569857,76,0,0,0.0,0,0,0.0,17.045359989126446,0,0,0
11,1,56.902000197933205,40.84548496529275,14.100498572999555,140,0,0,0.0,0,0,0.0,32.20216467799997,0,0,0
12,1,47.79044033715267,40.84548496529638,12.975051065130726,113,0,0,0.0,0,0,0.0,28.450455534563414,0,0,0
13,1,53.27662432603583,40.84548496529638,13.331451588655653,112,0,0,0.0,0,0,0.0,28.53802163024865,0,0,0
14,0,60.980472978490766,44.22669806478596,15.843043025777215,170,0,0,0.0,0,0,0.0,39.212252748083344,0,0,0
15,1,57.29948229812899,40.84548496529638,15.646524394071552,183,0,0,0.0,0,0,0.0,38.51718992224952,0,0,0
16,0,65.32726032037198,40.84548496529457,16.118673160851518,167,0,0,0.0,0,0,0.0,38.66181609801337,0,0,0
17,0,7.81533608458215,31.2729981111008,9.978568018894112,7,0,0,0.0,0,0,0.0,3.5535675820098427,0,0,0
18,1,22.023591439207145,33.92032898801608,16.608048012751365,10,0,0,0.0,0,0,0.0,7.110928059309288,0,0,0
19,1,53.46668825090044,44.226698064789886,19.56130470184234,195,0,0,0.0,0,0,0.0,42.420900398846875,0,0,0
21,0,61.04360136007507,44.22669806478792,25.648219412379113,209,0,0,0.0,0,0,0.0,39.925268925373246,0,0,0
22,1,9.984947045325141,38.67512552341557,15.666819315535141,26,0,0,0.0,0,0,0.0,5.908205256889473,0,0,0
23,1,25.81482561323066,40.84548496529638,10.191460709138434,15,0,0,0.0,0,0,0.0,3.0525302052986945,0,0,0
24,0,9.119732099604954,38.675125523412134,8.323414123568933,8,0,0,0.0,0,0,0.0,2.0177672901097474,0,0,0
25,0,6.72957556817513,37.92408071818199,9.14018907490567,8,0,0,0.0,0,0,0.0,2.168590608904201,0,0,0
